IssueKey,CommitId,CommitDate,SelectionStrategy,ParentCount,IsMerge,IssueInSubject,ProductionJavaFiles,ProductionJavaPaths,Subject
STORM-297,7b88cf352e2ab4d9df0c068432140b13821ba057,2014-05-20T11:15:05+08:00,NON_MERGE,1,false,true,1,storm-core/src/jvm/backtype/storm/messaging/netty/StormServerHandler.java,STORM-297: log server error
STORM-297,19e72e852cb25caa1ee18b6c5ae1ae627e337bf1,2014-05-20T11:24:42+08:00,NON_MERGE,1,false,true,2,storm-core/src/jvm/backtype/storm/Config.java | storm-core/src/jvm/backtype/storm/messaging/netty/Client.java,STORM-297: remove config storm.messaging.netty.blocking as we want async to be the default
STORM-297,fe68fd968bdfab3d902f86956ae04bd3d46b444e,2014-05-20T11:34:03+08:00,NON_MERGE,1,false,true,1,storm-core/src/jvm/backtype/storm/messaging/netty/Client.java,STORM-297: use primitive type int instead of Integer
STORM-297,d85c470747c22fa47a1f914388861b018ce9acc8,2014-05-20T11:59:18+08:00,NON_MERGE,1,false,true,1,storm-core/src/jvm/backtype/storm/messaging/netty/Client.java,"STORM-297, add timeout when trying to send pending batches in close()"
STORM-297,1baf9b7f47f1f1592391a9eb18b3ad0b340f7355,2014-05-20T12:03:16+08:00,NON_MERGE,1,false,true,2,storm-core/src/jvm/backtype/storm/messaging/netty/StormClientErrorHandler.java | storm-core/src/jvm/backtype/storm/messaging/netty/StormClientPipelineFactory.java,"STORM-297: rename StormClientHandler to StormClientErrorHandler, as all we do it to check errors in the class"
STORM-297,baa310618ed639c312f2281bc8364d55e5977174,2014-05-20T12:26:49+08:00,NON_MERGE,1,false,true,1,storm-core/src/jvm/backtype/storm/messaging/netty/Client.java,STORM-297: avoid duplicate Channel Null Check
STORM-297,9eecaf890d06df8d94c73227498a572f4d4cc96d,2014-05-20T20:46:11+08:00,NON_MERGE,1,false,true,2,storm-core/src/jvm/backtype/storm/messaging/netty/Client.java | storm-core/src/jvm/backtype/storm/messaging/netty/Context.java,STORM-297: Use a shared pool for netty client flusher threads.
STORM-297,deba55833b8752c5275cb37ac3a1043583790963,2014-05-20T20:46:11+08:00,NON_MERGE,1,false,true,2,storm-core/src/jvm/backtype/storm/messaging/netty/Client.java | storm-core/src/jvm/backtype/storm/messaging/netty/Context.java,STORM-297: Use a shared pool for netty client flusher threads.
STORM-297,20b4f8b2195a1bf214f63e10b1bbca4690c0290f,2014-05-21T01:15:55+08:00,NON_MERGE,1,false,true,1,storm-core/src/jvm/backtype/storm/messaging/netty/Context.java,"STORM-297: fix UT regression, when topology.workers is not specified."
STORM-297,426d143784ee3610aa3582d43316f1344abd6275,2014-06-03T14:44:09+08:00,NON_MERGE,1,false,true,2,storm-core/src/jvm/backtype/storm/testing/TestEventLogSpout.java | storm-core/src/jvm/backtype/storm/testing/TestEventOrderCheckBolt.java,STORM-297: add test case to test multiple receiver thread should reserve message order
STORM-297,0bca1733d64a92d8ec411f5fdf41ebc90a1bddef,2014-06-03T14:53:10+08:00,NON_MERGE,1,false,true,1,storm-core/src/jvm/backtype/storm/messaging/netty/Client.java,"STORM-297: fix flusher bug, dead loop"
STORM-297,f6915d45a61593f95bf779558a32f807d583932c,2014-06-04T18:14:55+08:00,NON_MERGE,1,false,true,1,storm-core/src/jvm/backtype/storm/Config.java,"STORM-297: rename ""worker.receiver.thread.count"" to ""topology.worker.receiver.thread.count"""
STORM-297,b4422f13b6c609b5f68eb0a053f4bc08182f97d5,2014-06-08T01:03:05+08:00,NON_MERGE,1,false,true,1,storm-core/src/jvm/backtype/storm/utils/TransferDrainer.java,STORM-297: avoid call IConneciton.send() when there is no message in the iterator.
STORM-297,23f572420b4b1b24e79b53067c9a2cb703599756,2014-06-08T03:41:46+08:00,NON_MERGE,1,false,true,1,storm-core/src/jvm/backtype/storm/testing/TestEventLogSpout.java,STORM-297: use acked spout to avoid topology be shutting down before bolt finish.
STORM-303,5b0258322fd0b479fb372a69184a24bc27958c21,2014-04-28T12:15:54-07:00,NON_MERGE,1,false,true,18,external/storm-kafka/src/jvm/storm/kafka/Broker.java | external/storm-kafka/src/jvm/storm/kafka/BrokerHosts.java | external/storm-kafka/src/jvm/storm/kafka/DynamicBrokersReader.java | external/storm-kafka/src/jvm/storm/kafka/KafkaConfig.java | external/storm-kafka/src/jvm/storm/kafka/KafkaSpout.java | external/storm-kafka/src/jvm/storm/kafka/KafkaUtils.java | external/storm-kafka/src/jvm/storm/kafka/KeyValueSchemeAsMultiScheme.java | external/storm-kafka/src/jvm/storm/kafka/PartitionCoordinator.java | external/storm-kafka/src/jvm/storm/kafka/PartitionManager.java | external/storm-kafka/src/jvm/storm/kafka/StaticCoordinator.java | external/storm-kafka/src/jvm/storm/kafka/StringScheme.java | external/storm-kafka/src/jvm/storm/kafka/ZkCoordinator.java | external/storm-kafka/src/jvm/storm/kafka/ZkHosts.java | external/storm-kafka/src/jvm/storm/kafka/ZkState.java | external/storm-kafka/src/jvm/storm/kafka/trident/GlobalPartitionInformation.java | external/storm-kafka/src/jvm/storm/kafka/trident/TransactionalTridentKafkaSpout.java | external/storm-kafka/src/jvm/storm/kafka/trident/TridentKafkaEmitter.java | external/storm-kafka/src/jvm/storm/kafka/trident/ZkBrokerReader.java,STORM-303: Forward port of storm-kafka work.
STORM-307,b2ecd44a7ee13d6c98171c63d056bdef481d6e0f,2014-10-05T21:46:24+01:00,NON_MERGE,1,false,true,1,storm-core/src/jvm/backtype/storm/utils/LocalState.java,STORM-307: reset LocalState if files are corrupt
STORM-307,ccde2332da9ae2c4b43e38651cc0d08ae0ebdb18,2014-10-06T10:17:26+01:00,NON_MERGE,1,false,true,1,storm-core/src/jvm/backtype/storm/utils/LocalState.java,STORM-307: fixed IOException retry logic
STORM-328,214ee7454548b884c591991b1faea770d1478cec,2014-07-12T00:59:01+09:00,NON_MERGE,1,false,true,3,storm-core/src/jvm/backtype/storm/Config.java | storm-core/src/jvm/backtype/storm/ConfigValidation.java | storm-core/src/jvm/backtype/storm/utils/Utils.java,"STORM-328 More restrictive to Config, strict range check within Utils.getInt"
STORM-338,862f6735f2e4cf9734b395385609bec8f0b6041f,2014-06-12T14:53:13-05:00,FIRST_PARENT_MERGE,2,true,true,1,storm-core/src/jvm/backtype/storm/messaging/netty/NettyRenameThreadFactory.java,Merge branch 'idiomatic-clojure-01' of https://github.com/bluemont/incubator-storm into STORM-338
STORM-342,72b1f592885abc8c02c6902aa0eb6499bacae7f2,2014-06-10T19:54:11+08:00,NON_MERGE,1,false,true,1,storm-core/src/jvm/backtype/storm/utils/DisruptorQueue.java,"STORM-342: Message loss, executor hang, or message disorder due to contention in Disruptor queue under multi-thread mode."
STORM-342,6946c34e9f06726b46c5fb1bf12e1f186a1a8a19,2014-06-10T20:29:28+08:00,NON_MERGE,1,false,true,1,storm-core/src/jvm/backtype/storm/utils/DisruptorQueue.java,STORM-342: rename the read-write lock
STORM-342,8b57097c6dc39f267bcbafb671ac977872380a8f,2014-06-12T08:53:17+08:00,NON_MERGE,1,false,true,1,storm-core/src/jvm/backtype/storm/utils/DisruptorQueue.java,STORM-342: add exception as cause when re-thrown
STORM-346,1094762bf9c3ae339500a3a4500d742367c33e63,2014-07-11T11:50:07-07:00,NON_MERGE,1,false,true,2,storm-core/src/jvm/backtype/storm/Config.java | storm-core/src/jvm/backtype/storm/security/auth/kerberos/AutoHDFS.java,"STORM-346: added AutoHDFS class that will get hdfs delegation tokens on behalf of users, push it to workers and renew the delegation tokens automatically."
STORM-346,1fedcd5b53649ba1f404429d6fa3c9cc6c296047,2014-07-11T11:50:07-07:00,NON_MERGE,1,false,true,4,storm-core/src/jvm/backtype/storm/Config.java | storm-core/src/jvm/backtype/storm/security/INimbusCredentialPlugin.java | storm-core/src/jvm/backtype/storm/security/auth/AuthUtils.java | storm-core/src/jvm/backtype/storm/security/auth/hadoop/AutoHDFS.java,"STORM-346: added AutoHDFS class that will get hdfs delegation tokens on behalf of users, push it to workers and renew the delegation tokens automatically. INimbusCredentialPlugin is a plugin interfae that will be executed as part of nimbu's submit topology operation and fetch credential from nimbus process on behalf of user. AutoHDFS will renew the tokens on nimbus host as long as credential has more then 24 hours on renew cycle, if tokens are going to expire in next 24 hours then new tokens will be fetched and pushed to all workers."
STORM-346,2c78f911e495518b65241ee0904d37d0f854b8b7,2014-07-11T11:50:07-07:00,NON_MERGE,1,false,true,6,storm-core/src/jvm/backtype/storm/Config.java | storm-core/src/jvm/backtype/storm/security/INimbusCredentialPlugin.java | storm-core/src/jvm/backtype/storm/security/auth/AuthUtils.java | storm-core/src/jvm/backtype/storm/security/auth/ICredentialsRenewer.java | storm-core/src/jvm/backtype/storm/security/auth/kerberos/AutoHDFS.java | storm-core/src/jvm/backtype/storm/security/auth/kerberos/AutoTGT.java,"STORM-346: added AutoHDFS class that will get hdfs delegation tokens on behalf of users, push it to workers and renew the delegation tokens automatically. INimbusCredentialPlugin is a plugin interfae that will be executed as part of nimbu's submit topology operation and fetch credential from nimbus process on behalf of user. AutoHDFS will renew the tokens on nimbus host as long as credential has more then 24 hours on renew cycle, if tokens are going to expire in next 24 hours then new tokens will be fetched and pushed to all workers."
STORM-347,f3112fa76e98038da83170513a476499dde0bb41,2014-06-26T15:05:21-07:00,NON_MERGE,1,false,true,6,storm-core/src/jvm/backtype/storm/Config.java | storm-core/src/jvm/backtype/storm/security/auth/AuthUtils.java | storm-core/src/jvm/backtype/storm/security/auth/IGroupMappingServiceProvider.java | storm-core/src/jvm/backtype/storm/security/auth/ShellBasedUnixGroupsMapping.java | storm-core/src/jvm/backtype/storm/security/auth/authorizer/SimpleACLAuthorizer.java | storm-core/src/jvm/backtype/storm/utils/ShellUtils.java,STORM-347. (Security) authentication should allow for groups not just users.
STORM-347,9e13a356268e1e8bf76ac29c42a441a0f49108be,2014-07-21T15:13:35-07:00,NON_MERGE,1,false,true,3,storm-core/src/jvm/backtype/storm/Config.java | storm-core/src/jvm/backtype/storm/security/auth/IGroupMappingServiceProvider.java | storm-core/src/jvm/backtype/storm/security/auth/ShellBasedUnixGroupsMapping.java,STORM-347. (Security) authentication should allow for groups not just users. Added Bobby's suggested changes.
STORM-347,fb882ca18f124c7f6b65b7edeb2c0a652e254c3a,2014-07-28T12:51:13-07:00,NON_MERGE,1,false,true,1,storm-core/src/jvm/backtype/storm/security/auth/ShellBasedGroupsMapping.java,STORM-347. (Security) authentication should allow for groups not just users. Added Unit test for ShellBaasedGroupsMapping.
STORM-348,41986445fb89ff77c101fcdd6daccb945160e8a9,2014-07-22T13:20:54-07:00,NON_MERGE,1,false,true,17,storm-core/src/jvm/backtype/storm/Config.java | storm-core/src/jvm/backtype/storm/messaging/netty/Client.java | storm-core/src/jvm/backtype/storm/messaging/netty/ControlMessage.java | storm-core/src/jvm/backtype/storm/messaging/netty/MessageDecoder.java | storm-core/src/jvm/backtype/storm/messaging/netty/MessageEncoder.java | storm-core/src/jvm/backtype/storm/messaging/netty/SaslMessageToken.java | storm-core/src/jvm/backtype/storm/messaging/netty/SaslNettyClient.java | storm-core/src/jvm/backtype/storm/messaging/netty/SaslNettyClientState.java | storm-core/src/jvm/backtype/storm/messaging/netty/SaslNettyServer.java | storm-core/src/jvm/backtype/storm/messaging/netty/SaslNettyServerState.java | storm-core/src/jvm/backtype/storm/messaging/netty/SaslStormClientHandler.java | storm-core/src/jvm/backtype/storm/messaging/netty/SaslStormServerAuthorizeHandler.java | storm-core/src/jvm/backtype/storm/messaging/netty/SaslStormServerHandler.java | storm-core/src/jvm/backtype/storm/messaging/netty/SaslUtils.java | storm-core/src/jvm/backtype/storm/messaging/netty/Server.java | storm-core/src/jvm/backtype/storm/messaging/netty/StormClientPipelineFactory.java | storm-core/src/jvm/backtype/storm/messaging/netty/StormServerPipelineFactory.java,STORM-348: Netty SASL Authentication
STORM-348,133c398ee9f5799fb3d702e27c8f83b969fc0341,2014-07-24T15:47:51-07:00,NON_MERGE,1,false,true,5,storm-core/src/jvm/backtype/storm/messaging/netty/SaslNettyClient.java | storm-core/src/jvm/backtype/storm/messaging/netty/SaslNettyServer.java | storm-core/src/jvm/backtype/storm/messaging/netty/SaslStormClientHandler.java | storm-core/src/jvm/backtype/storm/messaging/netty/SaslStormServerHandler.java | storm-core/src/jvm/backtype/storm/messaging/netty/SaslUtils.java,STORM-348: Netty SASL Authentication
STORM-348,3bce04ceab9abfd6e6da211cb5a792d9df6c96c6,2014-07-28T16:28:45-07:00,NON_MERGE,1,false,true,8,storm-core/src/jvm/backtype/storm/messaging/netty/Client.java | storm-core/src/jvm/backtype/storm/messaging/netty/SaslMessageToken.java | storm-core/src/jvm/backtype/storm/messaging/netty/SaslNettyClient.java | storm-core/src/jvm/backtype/storm/messaging/netty/SaslStormClientHandler.java | storm-core/src/jvm/backtype/storm/messaging/netty/SaslStormServerHandler.java | storm-core/src/jvm/backtype/storm/messaging/netty/SaslUtils.java | storm-core/src/jvm/backtype/storm/messaging/netty/StormClientPipelineFactory.java | storm-core/src/jvm/backtype/storm/messaging/netty/StormServerPipelineFactory.java,STORM-348: Netty SASL Authentication
STORM-348,19ad13510cb42963f868fd8bd785b4937dd348ab,2014-07-28T17:42:05-07:00,NON_MERGE,1,false,true,1,storm-core/src/jvm/backtype/storm/messaging/netty/SaslUtils.java,STORM-348: Netty SASL Authentication
STORM-349,b73b051e683f1f27d299b15d79e99ce74bbd6054,2014-08-14T13:42:40-07:00,NON_MERGE,1,false,true,1,storm-core/src/jvm/backtype/storm/Config.java,STORM-349. excluded dependencies from hadoop-auth. removed Config.UI_ACTIONS_ENABLED.
STORM-352,57851bb6be4caec950541bcb1f01529224e52af4,2014-06-13T14:01:32-04:00,NON_MERGE,1,false,true,1,external/storm-kafka/src/jvm/storm/kafka/PartitionManager.java,STORM-352: fix logic for writing offsets to ZooKeeper
STORM-396,832600e7bbe31f38cf5d8d58a8f138b7b9df5195,2014-08-07T15:52:41-05:00,FIRST_PARENT_MERGE,2,true,true,3,storm-core/src/jvm/backtype/storm/multilang/ShellMsg.java | storm-core/src/jvm/backtype/storm/spout/ShellSpout.java | storm-core/src/jvm/backtype/storm/task/ShellBolt.java,Merge branch 'multilang-nullpointerexception-fix' of https://github.com/forter/incubator-storm into STORM-396
STORM-399,2b1d6cfe9b3d567234246b2e01bfb02b64131302,2014-07-09T15:43:14-06:00,NON_MERGE,1,false,true,1,external/storm-kafka/src/jvm/storm/kafka/KafkaConfig.java,STORM-399 update KafkaConfig.maxOffsetBehind default to be Long.MAX_VALUE
STORM-406,848a748c5a00de9fc24174b2f7ccb58e0fa393f7,2014-07-29T07:16:40-05:00,FIRST_PARENT_MERGE,2,true,true,1,storm-core/src/jvm/backtype/storm/messaging/netty/Client.java,Merge branch 'netty-client-fix' of https://github.com/kishorvpatil/incubator-storm into STORM-406
STORM-422,2818698c6f687e3c1565a5f29daee1551482ba8d,2015-01-06T15:21:58-06:00,FIRST_PARENT_MERGE,2,true,true,1,storm-core/src/jvm/backtype/storm/utils/ShellProcess.java,Merge branch 'Multilang_die_hang' of https://github.com/dashengju/storm into STORM-422
STORM-427,ee5bb1792afc28155bd8cdf87e97ebf719c031d1,2014-07-29T16:47:19-05:00,NON_MERGE,1,false,true,1,storm-core/src/jvm/backtype/storm/security/auth/kerberos/AutoTGT.java,STORM-427: AutoTGT and HBase can expose JVM kerberos bug.
STORM-437,f49aa1c3dc45e0ee2c74b5b86c13fa135a55b8fe,2014-08-25T11:17:07-05:00,FIRST_PARENT_MERGE,2,true,true,1,storm-core/src/jvm/backtype/storm/multilang/JsonSerializer.java,Merge branch 'STORM-437-multilang-utf8' of https://github.com/forter/incubator-storm into STORM-437
STORM-442,2818698c6f687e3c1565a5f29daee1551482ba8d,2015-01-06T15:21:58-06:00,FIRST_PARENT_MERGE,2,true,false,1,storm-core/src/jvm/backtype/storm/utils/ShellProcess.java,Merge branch 'Multilang_die_hang' of https://github.com/dashengju/storm into STORM-422
STORM-443,0d82c2fc127343f18c3b41ae7951989a6515f371,2014-08-19T12:32:55-05:00,FIRST_PARENT_MERGE,2,true,true,1,storm-core/src/jvm/backtype/storm/multilang/JsonSerializer.java,Merge branch 'Multilang_JsonSerializer' of https://github.com/dashengju/incubator-storm into STORM-443
STORM-449,27400ee39d99909abb791eb732714ba4265d40be,2014-08-25T10:13:57-05:00,FIRST_PARENT_MERGE,2,true,true,1,storm-core/src/jvm/backtype/storm/task/ShellBolt.java,Merge branch 'STORM-449' of https://github.com/revans2/incubator-storm into STORM-449
STORM-468,f910e0db9447ca0bdc1a382c09ee1a242f4fc166,2015-03-23T22:34:59-04:00,NON_MERGE,1,false,true,1,storm-core/src/jvm/backtype/storm/topology/TopologyBuilder.java,Attempt at STORM-468
STORM-497,f259f1da288171a9393fb500150d034ccca0d146,2014-09-17T13:07:42Z,NON_MERGE,1,false,true,1,storm-core/src/jvm/backtype/storm/messaging/netty/Server.java,STORM-497: don't modify the mapping while the someone could be reading it.
STORM-501,32ff6e1fd62a64e156b58af24924ec7b7d5277a4,2014-09-19T16:03:50Z,NON_MERGE,1,false,true,1,storm-core/src/jvm/backtype/storm/StormSubmitter.java,STORM-501: Missing StormSubmitter API
STORM-509,11e6fc9821d7d7e676d573836c08272ce18385f2,2014-09-29T13:57:07-07:00,NON_MERGE,1,false,true,2,storm-core/src/jvm/backtype/storm/Config.java | storm-core/src/jvm/backtype/storm/security/auth/authorizer/SimpleACLAuthorizer.java,STORM-509. Make groups checking specific for SimpleACLAuthorizer.
STORM-509,0f6719d4303cae6fc8521b802bf86f077278e160,2014-09-30T11:43:37-07:00,NON_MERGE,1,false,true,1,storm-core/src/jvm/backtype/storm/security/auth/authorizer/SimpleACLAuthorizer.java,STORM-509.  Make groups checking specific for SimpleACLAuthorizer.
STORM-511,95abbc501c8f29d08dcd1e6200e7ded65c41512e,2014-09-27T15:24:15+01:00,NON_MERGE,1,false,true,3,external/storm-kafka/src/jvm/storm/kafka/KafkaUtils.java | external/storm-kafka/src/jvm/storm/kafka/PartitionManager.java | external/storm-kafka/src/jvm/storm/kafka/UpdateOffsetException.java,STORM-511 update startOffset in PartitionManager when submitted in fetch request one is out of range
STORM-511,d34037d2d2b1a1e635d708e9367c5a29d2505eff,2014-10-20T22:20:34+01:00,NON_MERGE,1,false,true,1,external/storm-kafka/src/jvm/storm/kafka/PartitionManager.java,STORM-511 fix updating internal state of PartitionManager
STORM-512,25eb1418b87840b3b07e2045877fef7a0b2f28da,2015-04-02T14:34:04-05:00,FIRST_PARENT_MERGE,2,true,true,3,external/storm-kafka/src/jvm/storm/kafka/bolt/KafkaBolt.java | storm-core/src/jvm/backtype/storm/utils/TupleUtils.java | storm-core/src/jvm/storm/trident/topology/TridentBoltExecutor.java,Merge branch 'STORM-512' of https://github.com/nielsbasjes/storm into STORM-512
STORM-513,ca5874cdf11af8d835335d228b643f28aeb3f9c3,2014-10-08T22:48:01+09:00,NON_MERGE,1,false,true,2,storm-core/src/jvm/backtype/storm/spout/ShellSpout.java | storm-core/src/jvm/backtype/storm/task/ShellBolt.java,STORM-513 check heartbeat from multilang subprocess
STORM-537,1aacccf286829e9289d86a6ed10b23cb2b21bc47,2014-10-29T18:27:56+03:00,NON_MERGE,1,false,true,1,storm-core/src/jvm/backtype/storm/messaging/netty/Client.java,[STORM-537] A worker reconnects infinitely to another dead worker
STORM-537,1d251e99850eb8969ac69021f1f78f8e40434305,2014-10-31T17:55:14+03:00,NON_MERGE,1,false,true,1,storm-core/src/jvm/backtype/storm/messaging/netty/Client.java,[STORM-537] A change after code review
STORM-537,dee91cfa3f73cdd3da6921593a71ec60ae304091,2014-11-05T09:02:10+03:00,NON_MERGE,1,false,true,1,storm-core/src/jvm/backtype/storm/messaging/netty/Client.java,[STORM-537] Removed overcomplicated tests
STORM-539,01ab7b141c408809d6491556494bded0d436ba4d,2014-12-15T14:24:51-08:00,NON_MERGE,1,false,true,10,external/storm-hive/src/main/java/org/apache/storm/hive/bolt/HiveBolt.java | external/storm-hive/src/main/java/org/apache/storm/hive/bolt/mapper/DelimitedRecordHiveMapper.java | external/storm-hive/src/main/java/org/apache/storm/hive/bolt/mapper/HiveMapper.java | external/storm-hive/src/main/java/org/apache/storm/hive/bolt/mapper/JsonRecordHiveMapper.java | external/storm-hive/src/main/java/org/apache/storm/hive/common/HiveOptions.java | external/storm-hive/src/main/java/org/apache/storm/hive/common/HiveUtils.java | external/storm-hive/src/main/java/org/apache/storm/hive/common/HiveWriter.java | external/storm-hive/src/main/java/org/apache/storm/hive/trident/HiveState.java | external/storm-hive/src/main/java/org/apache/storm/hive/trident/HiveStateFactory.java | external/storm-hive/src/main/java/org/apache/storm/hive/trident/HiveUpdater.java,STORM-539. Storm hive bolt and trident state.
STORM-539,81772b22668d51852b65bc8bbe0d83116c07e383,2014-12-15T14:24:51-08:00,NON_MERGE,1,false,true,10,external/storm-hive/src/main/java/org/apache/storm/hive/bolt/HiveBolt.java | external/storm-hive/src/main/java/org/apache/storm/hive/bolt/mapper/DelimitedRecordHiveMapper.java | external/storm-hive/src/main/java/org/apache/storm/hive/bolt/mapper/HiveMapper.java | external/storm-hive/src/main/java/org/apache/storm/hive/bolt/mapper/JsonRecordHiveMapper.java | external/storm-hive/src/main/java/org/apache/storm/hive/common/HiveOptions.java | external/storm-hive/src/main/java/org/apache/storm/hive/common/HiveUtils.java | external/storm-hive/src/main/java/org/apache/storm/hive/common/HiveWriter.java | external/storm-hive/src/main/java/org/apache/storm/hive/trident/HiveState.java | external/storm-hive/src/main/java/org/apache/storm/hive/trident/HiveStateFactory.java | external/storm-hive/src/main/java/org/apache/storm/hive/trident/HiveUpdater.java,STORM-539. Storm hive bolt and trident state.
STORM-539,b0cbb493e541b4b3762b1adfed695abbb39ec863,2015-02-12T09:47:04-08:00,NON_MERGE,1,false,true,1,external/storm-hive/src/main/java/org/apache/storm/hive/bolt/HiveBolt.java,STORM-539. Storm hive bolt and trident state. Added reportError for HiveBolt.
STORM-563,28d40a40678426b352b6c3cd191630b5186f9f32,2015-03-30T16:11:22-07:00,NON_MERGE,1,false,true,4,external/storm-kafka/src/jvm/storm/kafka/KafkaConfig.java | external/storm-kafka/src/jvm/storm/kafka/KafkaUtils.java | external/storm-kafka/src/jvm/storm/kafka/PartitionManager.java | external/storm-kafka/src/jvm/storm/kafka/trident/TridentKafkaEmitter.java,STORM-563. Kafka Spout doesn't pick up from the beginning of the queue unless forceFromStart specified.
STORM-563,d2e10346e58527496bccaeca7b6a1b1d924e7b99,2015-03-30T16:11:22-07:00,NON_MERGE,1,false,true,4,external/storm-kafka/src/jvm/storm/kafka/KafkaConfig.java | external/storm-kafka/src/jvm/storm/kafka/KafkaUtils.java | external/storm-kafka/src/jvm/storm/kafka/PartitionManager.java | external/storm-kafka/src/jvm/storm/kafka/trident/TridentKafkaEmitter.java,STORM-563. Kafka Spout doesn't pick up from the beginning of the queue unless forceFromStart specified.
STORM-565,5c0a56105a9a984ae8e693343a6d89b730fd2ff9,2014-11-20T08:36:17-08:00,NON_MERGE,1,false,true,1,storm-core/src/jvm/backtype/storm/security/auth/authorizer/SimpleACLAuthorizer.java,STORM-565. Setting topology.groups to nil could break SimpleACLAuthorizer.
STORM-566,ce90df5f7cb8ad35fdea2a39bf1c0f39f0b2eff5,2015-10-25T10:58:48-05:00,NON_MERGE,1,false,false,1,storm-core/src/jvm/storm/trident/spout/ITridentSpout.java,Improve documentation including incorrect Kryo serialization framework doc
